p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,p7_float,p8_float,p9_float,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,512,512,512,-reorder,-a2a,-p2p_pl, ,-r2c_dir 0,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1433.7,125.5512101650238,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1446.99,127.11801838874815,polaris-gpu,8,64,4,True,2,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,8,0.4444444444444444,0.1111111111111111,0.5,cufft,-1432.9,128.62139797210693,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder, ,-p2p_pl, , ,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1442.53,130.07554578781128,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder,-a2av,-p2p_pl, ,-r2c_dir 0,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1445.68,131.62384414672852,polaris-gpu,8,64,4,True,2,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,16,0.4444444444444444,0.1111111111111111,1.0,cufft,-1438.52,133.1781415939331,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,2,0.4444444444444444,0.1111111111111111,0.0,cufft,-1447.41,134.74406790733337,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder,-a2av,-p2p_pl, ,-r2c_dir 0,2 2 2,4 2 1,8,0.4444444444444444,0.1111111111111111,0.5,cufft,-1449.36,136.22032761573792,polaris-gpu,8,64,4,True,2,4
float,512,512,512,-reorder, ,-p2p_pl,-slabs,-r2c_dir 0,2 2 2,4 2 1,8,0.4444444444444444,0.1111111111111111,0.5,cufft,-1411.81,137.75149512290955,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder,-a2a,-p2p_pl, , ,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1447.66,139.27422523498535,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder, ,-p2p_pl,-pencils, ,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1445.84,140.73511791229248,polaris-gpu,8,64,4,True,2,4
float,512,512,512,-reorder,-a2av,-p2p_pl, ,-r2c_dir 0,2 2 2,4 2 1,2,0.4444444444444444,0.1111111111111111,0.0,cufft,-1449.72,142.37002229690552,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder, ,-p2p_pl, , ,2 2 2,4 2 1,12,0.4444444444444444,0.1111111111111111,0.75,cufft,-1438.88,143.9581356048584,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,4,0.4444444444444444,0.1111111111111111,0.25,cufft,-1449.6,145.38133311271667,polaris-gpu,8,64,4,True,2,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,8,0.4444444444444444,0.1111111111111111,0.5,cufft,-1442.17,146.90915513038635,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils, ,2 2 2,4 2 1,8,0.4444444444444444,0.1111111111111111,0.5,cufft,-1432.62,148.43561959266663,polaris-gpu,8,64,4,True,4,4
float,512,512,512,-reorder,-a2a,-p2p_pl, , ,2 2 2,4 2 1,8,0.4444444444444444,0.1111111111111111,0.5,cufft,-1444.64,149.94791841506958,polaris-gpu,8,64,4,True,2,4
float,512,512,512,-reorder,-a2av,-p2p_pl, , ,2 2 2,4 2 1,8,0.4444444444444444,0.1111111111111111,0.5,cufft,-1435.22,151.53626489639282,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder,-a2av,-p2p_pl, ,-r2c_dir 0,2 2 2,4 2 1,4,0.4444444444444444,0.1111111111111111,0.25,cufft,-1440.17,153.08955645561218,polaris-gpu,8,64,4,True,2,4
float,512,512,512,-reorder,-a2av,-p2p_pl, ,-r2c_dir 0,2 2 2,4 2 1,8,0.4444444444444444,0.1111111111111111,0.5,cufft,-1437.9,155.38472723960876,polaris-gpu,8,64,4,True,3,4
float,512,512,512,-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 0,2 2 2,4 2 1,8,0.4444444444444444,0.1111111111111111,0.5,cufft,-1439.0,155.32327485084534,polaris-gpu,8,64,4,True,4,4
float,512,512,512, , , , , ,2 2 2,2 2 2,16,0.4444444444444444,0.4444444444444444,1.0,cufft,-234.126,7.255538702011108,polaris-gpu,8,64,4,True,2,4
float,512,512,512,-no-reorder, , , ,-r2c_dir 1,4 2 1,2 2 2,4,0.1111111111111111,0.4444444444444444,0.25,cufft,1.0,22.21081805229187,polaris-gpu,8,64,4,True,3,4
float,512,512,512, , ,-p2p_pl,-slabs, ,2 2 2,2 2 2,8,0.4444444444444444,0.4444444444444444,0.5,cufft,-391.657,6.803774833679199,polaris-gpu,8,64,4,True,4,4
float,512,512,512, ,-a2a,-p2p_pl,-slabs, ,4 2 1,4 2 1,2,0.1111111111111111,0.1111111111111111,0.0,cufft,-532.614,6.703625917434692,polaris-gpu,8,64,4,True,5,4
float,512,512,512,-reorder,-a2av,-p2p_pl,-pencils,-r2c_dir 2,2 2 2,2 2 2,12,0.4444444444444444,0.4444444444444444,0.75,cufft,1.0,27.08452582359314,polaris-gpu,8,64,4,True,4,4
double,512,512,512,-reorder,-a2av,-p2p,-pencils,-r2c_dir 2,2 2 2,4 2 1,2,0.4444444444444444,0.1111111111111111,0.0,cufft,1.0,28.314260244369507,polaris-gpu,8,64,4,True,2,4
