p0,p1x,p1y,p1z,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,threads_per_node,ranks_per_node,gpu_enabled,p7_float,p8_float,p9_float,libE_id,libE_workers
double,128,128,128, ,-a2a, ,-slabs,-r2c_dir 2,16 1 1,16 1 1,8,cufft,-52.7362,152.90433382987976,polaris-gpu,16,64,4,True,0.0,0.0,0.5,2,4
double,128,128,128, ,-a2a,-p2p,-slabs,-r2c_dir 2,16 1 1,16 1 1,2,cufft,-30.4986,157.15337586402893,polaris-gpu,16,64,4,True,0.0,0.0,0.0,4,4
double,128,128,128, ,-a2a, , ,-r2c_dir 1,16 1 1,16 1 1,2,cufft,1.0,174.92240071296692,polaris-gpu,16,64,4,True,0.0,0.0,0.0,3,4
double,128,128,128, ,-a2a, , ,-r2c_dir 2,16 1 1,16 1 1,4,cufft,1.0,174.962073802948,polaris-gpu,16,64,4,True,0.0,0.0,0.25,2,4
double,128,128,128,-reorder,-a2a, , ,-r2c_dir 0,16 1 1,16 1 1,2,cufft,-36.9594,178.21190333366394,polaris-gpu,16,64,4,True,0.0,0.0,0.0,2,4
double,128,128,128,-reorder,-a2a, ,-slabs,-r2c_dir 0,16 1 1,16 1 1,12,cufft,-38.6894,179.69231152534485,polaris-gpu,16,64,4,True,0.0,0.0,0.75,3,4
double,128,128,128, ,-a2a, , ,-r2c_dir 2,16 1 1,16 1 1,8,cufft,1.0,180.96020436286926,polaris-gpu,16,64,4,True,0.0,0.0,0.5,5,4
double,128,128,128, ,-a2a, ,-slabs,-r2c_dir 2,16 1 1,16 1 1,4,cufft,1.0,181.0916826725006,polaris-gpu,16,64,4,True,0.0,0.0,0.25,4,4
double,128,128,128, ,-a2a,-p2p_pl,-slabs,-r2c_dir 2,16 1 1,16 1 1,8,cufft,-40.7657,182.9848198890686,polaris-gpu,16,64,4,True,0.0,0.0,0.5,3,4
double,128,128,128, ,-a2a, ,-slabs, ,16 1 1,16 1 1,2,cufft,-26.0623,186.58193016052246,polaris-gpu,16,64,4,True,0.0,0.0,0.0,2,4
