p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,c0,FLOPS,elapsed_sec,machine_identifier,mpi_ranks,ranks_per_node,gpu_enabled,libE_id,libE_workers
float,128,-reorder, ,-p2p_pl, ,-r2c_dir 1,0.9609852710780799,0.43479240503708605,2,fftw,-31.3159,1071.6431334018707,theta-knl,4096,64,False,3,4
float,128,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.7789127641433535,0.5950017823977577,2,fftw,-34.9486,1074.1000406742096,theta-knl,4096,64,False,4,4
float,128,-reorder, ,-p2p_pl, ,-r2c_dir 1,0.9147396519851884,0.43958087611082064,2,fftw,-32.0362,1087.7794206142426,theta-knl,4096,64,False,2,4
double,128, , ,-p2p_pl, ,-r2c_dir 1,0.7904103122173892,0.50296283663239,4,fftw,-19.5687,1094.2276556491852,theta-knl,4096,64,False,5,4
float,128,-no-reorder, ,-p2p_pl, ,-r2c_dir 1,0.9417815237900976,0.4966767672407504,2,fftw,-23.4456,1103.2460479736328,theta-knl,4096,64,False,4,4
float,128,-reorder, ,-p2p_pl, , ,0.9018627490331655,0.5011959125646311,2,fftw,-32.0283,1111.37131857872,theta-knl,4096,64,False,3,4
float,128,-reorder, ,-p2p_pl, ,-r2c_dir 1,0.8733195719437687,0.4513357681703203,4,fftw,-19.934,1118.3432595729828,theta-knl,4096,64,False,2,4
float,128,-no-reorder,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.8094826898772582,0.4418266778130483,4,fftw,-29.275,1134.1184504032135,theta-knl,4096,64,False,5,4
float,128,-reorder, ,-p2p_pl,-pencils,-r2c_dir 1,0.6944695273899875,0.4455949568153156,2,fftw,-29.3938,1141.454503774643,theta-knl,4096,64,False,4,4
float,128,-reorder, ,-p2p_pl, ,-r2c_dir 0,0.661161780603825,0.4395126309671258,2,fftw,-24.7584,1154.4733052253723,theta-knl,4096,64,False,3,4
float,128, , ,-p2p_pl, ,-r2c_dir 1,0.7947370982669698,0.42862435310634195,2,fftw,-32.9499,1156.9070258140564,theta-knl,4096,64,False,2,4
float,128, ,-a2a,-p2p_pl,-pencils, ,0.7592408028603028,0.4355747502140703,4,fftw,-24.2277,1175.38458943367,theta-knl,4096,64,False,5,4
float,128, ,-a2a,-p2p_pl,-pencils,-r2c_dir 1,0.7689191908146362,0.5969864527277217,4,fftw,-34.032,1183.8751595020294,theta-knl,4096,64,False,4,4
